Title,Date
"Selling Sunset: Season 2: I’m No Soldier","8/12/20"
"Selling Sunset: Season 2: The Red Engagement Party","8/12/20"
"Selling Sunset: Season 2: Sorry, Not Sorry","8/12/20"
"Selling Sunset: Season 2: Billionaires Have Compounds","8/12/20"
"Selling Sunset: Season 1: The Gloves Come Off","8/12/20"
"Selling Sunset: Season 1: It Takes Two to Make a Thing Go Right","8/12/20"
"Selling Sunset: Season 1: Real Estate Hunger Games","8/12/20"
"Selling Sunset: Season 1: The One That Got Away","8/12/20"
"Selling Sunset: Season 1: Loose Lips Sink Relationships","8/11/20"
"Selling Sunset: Season 1: (Real) Diamonds Are a Girl's Best Friend","8/11/20"
"Selling Sunset: Season 1: Can't Have Your Cake and Eat It Too","8/11/20"
"The Umbrella Academy: Season 2: The End of Something","8/10/20"
"The Umbrella Academy: Season 2: 743","8/10/20"
"The Umbrella Academy: Season 2: The Seven Stages","8/10/20"
"The Umbrella Academy: Season 2: Öga for Öga","8/9/20"
"The Umbrella Academy: Season 2: A Light Supper","8/9/20"
"The Umbrella Academy: Season 2: Valhalla","8/9/20"
"The Umbrella Academy: Season 2: The Majestic 12","8/9/20"
"The Umbrella Academy: Season 2: The Swedish Job","8/9/20"
"The Umbrella Academy: Season 2: The Frankel Footage","8/7/20"
"The Umbrella Academy: Season 2: Right Back Where We Started","8/7/20"
"The Umbrella Academy: Season 1: The White Violin","8/6/20"
"The Umbrella Academy: Season 1: Changes","8/6/20"
"The Umbrella Academy: Season 1: I Heard a Rumor","8/6/20"
"The Umbrella Academy: Season 1: The Day That Was","8/6/20"
"The Umbrella Academy: Season 1: The Day That Wasn't","8/6/20"
"The Umbrella Academy: Season 1: Number Five","8/6/20"
"The Umbrella Academy: Season 1: Man on the Moon","8/6/20"
"The Umbrella Academy: Season 1: Extra Ordinary","8/6/20"
"The Umbrella Academy: Season 1: Run Boy Run","8/6/20"
"The Umbrella Academy: Season 1: We Only See Each Other at Weddings and Funerals","8/6/20"
"Snowpiercer: Season 1: Without Their Maker","8/5/20"
"Cursed: Season 1: Cursed","8/4/20"
"Cursed: Season 1: Nimue","8/4/20"
"Snowpiercer: Season 1: 994 Cars Long","8/4/20"
"Snowpiercer: Season 1: The Train Demanded Blood","8/4/20"
"Snowpiercer: Season 1: These Are His Revolutions","8/4/20"
"Snowpiercer: Season 1: The Universe Is Indifferent","8/4/20"
"Snowpiercer: Season 1: Trouble Comes Sideways","8/4/20"
"Snowpiercer: Season 1: Justice Never Boarded","8/4/20"
"Snowpiercer: Season 1: Access Is Power","8/4/20"
"Snowpiercer: Season 1: Prepare to Brace","8/3/20"
"Snowpiercer: Season 1: First, the Weather Changed","7/31/20"
"Norsemen: Season 1: The Escape","7/31/20"
"Norsemen: Season 1: The Homecoming","7/31/20"
"New Girl: Season 7: The Curse of the Pirate Bride","7/31/20"
"New Girl: Season 7: Mario","7/31/20"
"New Girl: Season 7: Tuesday Meeting","7/31/20"
"New Girl: Season 7: About Three Years Later","7/31/20"
"New Girl: Season 6: Five Stars for Beezus","7/31/20"
"New Girl: Season 6: San Diego","7/31/20"
"New Girl: Season 6: Misery","7/31/20"
"New Girl: Season 6: Socalyalcon VI","7/31/20"
"New Girl: Season 6: Young Adult","7/31/20"
"New Girl: Season 6: Rumspringa","7/31/20"
"New Girl: Season 6: Operation: Bobcat","7/31/20"
"New Girl: Season 6: Glue","7/31/20"
"New Girl: Season 6: The Hike","7/31/20"
"New Girl: Season 6: Cece's Boys","7/31/20"
"New Girl: Season 6: The Cubicle","7/31/20"
"New Girl: Season 6: Raisin's Back","7/29/20"
"New Girl: Season 6: Christmas Eve Eve","7/29/20"
"New Girl: Season 6: Es Good","7/29/20"
"New Girl: Season 6: James Wonder","7/29/20"
"New Girl: Season 6: Last Thanksgiving","7/29/20"
"New Girl: Season 6: Ready","7/29/20"
"New Girl: Season 6: Jaipur Aviv","7/29/20"
"New Girl: Season 6: Homecoming","7/29/20"
"New Girl: Season 6: Single and Sufficient","7/29/20"
"New Girl: Season 6: Hubbedy Bubby","7/29/20"
"New Girl: Season 6: House Hunt","7/29/20"
"New Girl: Season 5: Landing Gear","7/28/20"
"New Girl: Season 5: Wedding Eve","7/28/20"
"New Girl: Season 5: Return to Sender","7/28/20"
"New Girl: Season 5: Dress","7/28/20"
"New Girl: Season 5: A Chill Day In","7/28/20"
"New Girl: Season 5: Road Trip","7/28/20"
"New Girl: Season 5: Helmet","7/28/20"
"New Girl: Season 5: Jeff Day","7/27/20"
"New Girl: Season 5: 300 Feet","7/27/20"
"New Girl: Season 5: Sam, Again","7/27/20"
"New Girl: Season 5: D-Day","7/27/20"
"New Girl: Season 5: The Apartment","7/27/20"
"New Girl: Season 5: Goosebumps Walkaway","7/27/20"
"New Girl: Season 5: Heat Wave","7/27/20"
"New Girl: Season 5: The Decision","7/26/20"
"New Girl: Season 5: Wig","7/26/20"
"New Girl: Season 5: Reagan","7/26/20"
"New Girl: Season 5: Bob & Carol & Nick & Schmidt","7/26/20"
"New Girl: Season 5: No Girl","7/26/20"
"New Girl: Season 5: Jury Duty","7/26/20"
"New Girl: Season 5: What About Fred","7/26/20"
"New Girl: Season 5: Big Mama P","7/26/20"
"New Girl: Season 4: Clean Break","7/26/20"
"New Girl: Season 4: Panty Gate","7/26/20"
"Dark: Season 1: As You Sow, so You Shall Reap","7/26/20"
"Dark: Season 1: Lies","7/26/20"
"New Girl: Season 4: Par 5","7/21/20"
"New Girl: Season 4: The Right Thing","7/21/20"
"New Girl: Season 4: Walk of Shame","7/21/20"
"New Girl: Season 4: Spiderhunt","7/21/20"
"New Girl: Season 4: Oregon","7/21/20"
"New Girl: Season 4: The Crawl","7/21/20"
"New Girl: Season 4: Swuit","7/21/20"
"New Girl: Season 4: Coming Out","7/21/20"
"New Girl: Season 4: Shark","7/21/20"
"New Girl: Season 4: LAXmas","7/21/20"
"New Girl: Season 4: Girl Fight","7/21/20"
"New Girl: Season 4: Thanksgiving IV","7/21/20"
"New Girl: Season 4: Teachers","7/21/20"
"New Girl: Season 4: Goldmine","7/21/20"
"New Girl: Season 4: Background Check","7/21/20"
"New Girl: Season 4: Landline","7/21/20"
"New Girl: Season 4: Micro","7/21/20"
"New Girl: Season 4: Julie Berkman's Older Sister","7/21/20"
"New Girl: Season 4: Dice","7/21/20"
"New Girl: Season 4: The Last Wedding","7/20/20"
"New Girl: Season 3: Cruise","7/20/20"
"New Girl: Season 3: Dance","7/20/20"
"New Girl: Season 3: Big News","7/20/20"
"New Girl: Season 3: Mars Landing","7/20/20"
"New Girl: Season 3: Fired Up","7/20/20"
"New Girl: Season 3: Sister III","7/20/20"
"New Girl: Season 3: Sister II","7/20/20"
"New Girl: Season 3: Sister","7/20/20"
"New Girl: Season 3: Exes","7/20/20"
"New Girl: Season 3: Prince","7/20/20"
"New Girl: Season 3: Birthday","7/20/20"
"New Girl: Season 3: Basketsball","7/20/20"
"New Girl: Season 3: Clavado En Un Bar","7/20/20"
"New Girl: Season 3: Thanksgiving III","7/20/20"
"New Girl: Season 3: Longest Night Ever","7/20/20"
"New Girl: Season 3: Menus","7/20/20"
"New Girl: Season 3: Coach","7/20/20"
"New Girl: Season 3: Keaton","7/20/20"
"New Girl: Season 3: The Box","7/15/20"
"New Girl: Season 3: The Captain","7/15/20"
"New Girl: Season 3: Double Date","7/9/20"
"New Girl: Season 3: Nerd","7/9/20"
"New Girl: Season 3: All In","7/8/20"
"New Girl: Season 2: Elaine's Big Day","7/8/20"
"New Girl: Season 2: Winston's Birthday","7/8/20"
"New Girl: Season 2: Virgins","7/8/20"
"New Girl: Season 2: First Date","7/8/20"
"New Girl: Season 2: Bachelorette Party","7/8/20"
"New Girl: Season 2: Chicago","7/8/20"
"New Girl: Season 2: Quick Hardening Caulk","7/8/20"
"New Girl: Season 2: Tinfinity","7/2/20"
"New Girl: Season 2: Parking Spot","7/2/20"
"New Girl: Season 2: Table 34","7/2/20"
"New Girl: Season 2: Cooler","7/2/20"
"New Girl: Season 2: Pepperwood","7/1/20"
"New Girl: Season 2: A Father's Love","7/1/20"
"New Girl: Season 2: Cabin","7/1/20"
"New Girl: Season 2: Santa","7/1/20"
"New Girl: Season 2: Bathtub","7/1/20"
"New Girl: Season 2: Eggs","7/1/20"
"New Girl: Season 2: Parents","6/30/20"
"New Girl: Season 2: Menzies","6/30/20"
"New Girl: Season 2: Halloween","6/29/20"
"New Girl: Season 2: Models","6/28/20"
"New Girl: Season 2: Neighbors","6/28/20"
"New Girl: Season 2: Fluffer","6/28/20"
"New Girl: Season 2: Katie","6/28/20"
"New Girl: Season 2: Re-Launch","6/28/20"
"New Girl: Season 1: See Ya","6/28/20"
"New Girl: Season 1: Backslide","6/28/20"
"New Girl: Season 1: Tomatoes","6/28/20"
"New Girl: Season 1: Kids","6/28/20"
"New Girl: Season 1: Normal","6/28/20"
"New Girl: Season 1: Secrets","6/28/20"
"New Girl: Season 1: Fancyman, Part 2","6/28/20"
"New Girl: Season 1: Fancyman, Part 1","6/28/20"
"New Girl: Season 1: Control","6/28/20"
"New Girl: Season 1: Injured","6/27/20"
"New Girl: Season 1: Bully","6/27/20"
"New Girl: Season 1: Valentine's Day","6/27/20"
"New Girl: Season 1: The Landlord","6/27/20"
"New Girl: Season 1: Jess and Julia","6/27/20"
"New Girl: Season 1: The Story of the 50","6/27/20"
"New Girl: Season 1: The 23rd","6/27/20"
"New Girl: Season 1: Bad in Bed","6/27/20"
"New Girl: Season 1: Bells","6/27/20"
"New Girl: Season 1: Thanksgiving","6/27/20"
"New Girl: Season 1: Cece Crashes","6/27/20"
"New Girl: Season 1: Naked","6/27/20"
"New Girl: Season 1: Wedding","6/27/20"
"New Girl: Season 1: Kryptonite","6/27/20"
"New Girl: Season 1: Pilot","6/27/20"
"New Girl: Season 7: Godparents","6/27/20"
"New Girl: Season 7: Where the Road Goes","6/27/20"
"New Girl: Season 7: Lillypads","6/25/20"
"Gotham: Season 1: Arkham","6/14/20"
"Gotham: Season 1: The Balloonman","6/14/20"
"Gotham: Season 1: Selina Kyle","6/14/20"
"Gotham: Season 1: Pilot","6/14/20"
"Gotham: Season 5: The	Beginning...","6/14/20"
"Gotham: Season 5: They Did What?","6/13/20"
"Gotham: Season 5: I Am Bane","6/13/20"
"Gotham: Season 5: The	Trial of Jim Gordon","6/13/20"
"Gotham: Season 5: Nothing's Shocking","6/13/20"
"Gotham: Season 5: Ace	Chemicals","6/13/20"
"Rick and Morty: Season 3: Rest and Ricklaxation","6/12/20"
"Rick and Morty: Season 4: Star Mort Rick Turn of the Jerri","6/12/20"
"Gotham: Season 5: 13 Stitches","6/12/20"
"Gotham: Season 5: Pena Dura","6/11/20"
"Gotham: Season 5: Ruin","6/11/20"
"Gotham: Season 5: Penguin,	Our	Hero","6/10/20"
"Gotham: Season 5: Trespassers","6/10/20"
"Gotham: Season 5: Year Zero","6/10/20"
"Gotham: Season 4: No Man's Land","6/10/20"
"Gotham: Season 4: One Bad Day","6/10/20"
"Gotham: Season 4: That Old Corpse","6/10/20"
"Gotham: Season 4: To Our Deaths and Beyond","6/9/20"
"Gotham: Season 4: That's Entertainment","6/9/20"
"Gotham: Season 4: Mandatory Brunch Meeting","6/9/20"
"Gotham: Season 4: One of My Three Soups","6/9/20"
"Rick and Morty: Season 2: The Ricks Must Be Crazy","6/9/20"
"Community: Season 2: Paradigms of Human Memory","6/7/20"
"Community: Season 1: Comparative Religion","6/7/20"
"Gotham: Season 4: The Sinking Ship, The Grand Applause","6/7/20"
"Klovn Forever","6/6/20"
"The Midnight Gospel: Season 1: Taste of the King","6/6/20"
"Gotham: Season 4: Reunion","6/6/20"
"Gotham: Season 4: A Beautiful Darkness","6/3/20"
"Gotham: Season 4: Pieces of a Broken Mirror","6/3/20"
"Gotham: Season 4: Queen Takes Knight","6/3/20"
"Gotham: Season 4: Things That Go Boom","6/2/20"
"Gotham: Season 4: Let Them Eat Pie","6/2/20"
"Gotham: Season 4: Stop Hitting Yourself","6/2/20"
"Gotham: Season 4: A Day in the Narrows","6/2/20"
"Gotham: Season 4: Hog Day Afternoon","6/1/20"
"Gotham: Season 4: The Blade's Path","6/1/20"
"Gotham: Season 4: The Demon's Head","6/1/20"
"Gotham: Season 4: They Who Hide Behind Masks","6/1/20"
"Gotham: Season 4: The Fear Reaper","6/1/20"
"Gotham: Season 4: Pax Penguina","6/1/20"
"Gotham: Season 3: Destiny Calling / Heavydirtysoul","6/1/20"
"Gotham: Season 3: Pretty Hate Machine","6/1/20"
"Gotham: Season 3: All Will Be Judged","6/1/20"
"Gotham: Season 3: Light the Wick","6/1/20"
"Community: Season 1: The Politics of Human Sexuality","5/31/20"
"Community: Season 1: Environmental Science","5/31/20"
"Rick and Morty: Season 4: Childrick of Mort","5/31/20"
"Rick and Morty: Season 4: The Vat of Acid Episode","5/31/20"
"Rick and Morty: Season 4: Promortyus","5/31/20"
"Rick and Morty: Season 4: Never Ricking Morty","5/31/20"
"Rick and Morty: Season 4: Rattlestar Ricklactica","5/31/20"
"Gotham: Season 3: The Primal Riddle","5/31/20"
"Gotham: Season 3: These Delicate and Dark Obsessions","5/31/20"
"Gotham: Season 3: How the Riddler Got His Name","5/30/20"
"Gotham: Season 3: The Gentle Art of Making Enemies","5/30/20"
"Gotham: Season 3: Smile Like You Mean It","5/30/20"
"Gotham: Season 3: Ghosts","5/30/20"
"Gotham: Season 3: Beware the Green-Eyed Monster","5/30/20"
"Gotham: Season 3: Time Bomb","5/30/20"
"Gotham: Season 3: The Executioner","5/29/20"
"Gotham: Season 3: Blood Rush","5/29/20"
"Gotham: Season 3: The Red Queen","5/28/20"
"Gotham: Season 3: Follow the White Rabbit","5/28/20"
"Gotham: Season 3: Anything for You","5/28/20"
"Gotham: Season 3: New Day Rising","5/27/20"
"Gotham: Season 3: Look Into My Eyes","5/27/20"
"Gotham: Season 3: Burn the Witch","5/27/20"
"Gotham: Season 3: Better to Reign in Hell","5/27/20"
"Gotham: Season 2: Transference","5/26/20"
"Gotham: Season 2: A Legion of Horribles","5/26/20"
"Gotham: Season 2: Unleashed","5/26/20"
"Gotham: Season 2: Azrael","5/25/20"
"Gotham: Season 2: Pinewood","5/25/20"
"Gotham: Season 2: Into the Woods","5/24/20"
"Gotham: Season 2: Prisoners","5/19/20"
"Gotham: Season 2: Mad Grey Dawn","5/19/20"
"Gotham: Season 2: This Ball of Mud and Meanness","5/18/20"
"Gotham: Season 2: A Dead Man Feels No Cold","5/18/20"
"Gotham: Season 2: Mr. Freeze","5/18/20"
"Gotham: Season 2: Worse Than a Crime","5/17/20"
"Gotham: Season 2: The Son of Gotham","5/17/20"
"Gotham: Season 2: A Bitter Pill to Swallow","5/17/20"
"Gotham: Season 2: Tonight's the Night","5/17/20"
"Gotham: Season 2: Mommy's Little Monster","5/17/20"
"Gotham: Season 2: By Fire","5/17/20"
"Gotham: Season 2: Scarification","5/17/20"
"Gotham: Season 2: Strike Force","5/17/20"
"Gotham: Season 2: The Last Laugh","5/17/20"
"Gotham: Season 2: Knock, Knock","5/17/20"
"Gotham: Season 2: Damned If You Do","5/16/20"
"Gotham: Season 1: All Happy Families Are Alike","5/16/20"
"Gotham: Season 1: The Anvil or the Hammer","5/16/20"
"Gotham: Season 1: Under the Knife","5/16/20"
"Gotham: Season 1: Beasts of Prey","5/16/20"
"Gotham: Season 1: Everyone Has a Cobblepot","5/16/20"
"Gotham: Season 1: Red Hood","5/16/20"
"Gotham: Season 1: The Blind Fortune Teller","5/15/20"
"Gotham: Season 1: The Scarecrow","5/15/20"
"Gotham: Season 1: The Fearsome Dr. Crane","5/15/20"
"Gotham: Season 1: Welcome Back, Jim Gordon","5/14/20"
"Gotham: Season 1: What the Little Bird Told Him","5/14/20"
"Gotham: Season 1: Rogues' Gallery","5/14/20"
"Gotham: Season 1: Lovecraft","5/14/20"
"Gotham: Season 1: Harvey Dent","5/14/20"
"Gotham: Season 1: The Mask","5/13/20"
"Gotham: Season 1: Penguin's Umbrella","5/13/20"
"Gotham: Season 1: Spirit of the Goat","5/13/20"
"Gotham: Season 1: Viper","5/13/20"
"Rick and Morty: Season 4: Claw and Hoarder: Special Ricktim’s Morty","5/10/20"
"Rick and Morty: Season 4: One Crew over the Crewcoo’s Morty","5/8/20"
"Rick and Morty: Season 4: The Old Man and the Seat","5/8/20"
"Rick and Morty: Season 4: Edge of Tomorty: Rick Die Rickpeat","5/8/20"
"Rick and Morty: Season 1: Meeseeks and Destroy","5/8/20"
"DC's Legends of Tomorrow: Season 1: Blood Ties","5/5/20"
